Threshold,Net Benefit,Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN
0.1,0.23423423423423423,0.6208172458172458,0.42792792792792794,0.9601347557551937,0.9601347557551937,0.48455467869222096,0.42792792792792794,0.968018018018018,0.5920027696036004,0.8867580061870668,0.1215904813632756,1710,2286,2149,71
0.2,0.19461872586872586,0.7665701415701416,0.5616591928251121,0.8439079169006176,0.8439079169006176,0.7355129650507328,0.5616591928251121,0.9214689265536723,0.674444693740184,0.8867580061870668,0.1215904813632756,1503,1173,3262,278
0.3,0.1672412208126494,0.8227155727155727,0.6749098402885111,0.7355418304323413,0.7355418304323413,0.8577226606538895,0.6749098402885111,0.8898245614035087,0.7039226222461042,0.8867580061870668,0.1215904813632756,1310,631,3804,471
0.4,0.13974688974688976,0.8359073359073359,0.7704335465529495,0.6086468276249298,0.6086468276249298,0.9271702367531003,0.7704335465529495,0.8550634227490123,0.6800501882057717,0.8867580061870668,0.1215904813632756,1084,323,4112,697
0.5,0.11486486486486487,0.8283462033462033,0.8562874251497006,0.48175182481751827,0.48175182481751827,0.9675310033821871,0.8562874251497006,0.8229766014576141,0.616600790513834,0.8867580061870668,0.1215904813632756,858,144,4291,923
